title,brand,price,url,img,description,source,date,sold
LeJour Chronograph Black PVD	Ref 7000,Other,4200,https://www.belmontwatches.com/products/lejour-chronograph-black-pvd-ref-7000,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/LeJourChronographBlackPVDRef7000.jpg?v=1772138832,"The LeJour Chronograph Ref. 7000 Black PVD is a vintage Swiss automatic chronograph from the 1970s–1980s era that stands out largely due to its matte black PVD-coated case and rugged, tool-watch personality. With a 40 mm case finished in black (often showing a subtle patina in well-worn examples), this chronograph captures the bold aesthetic of early sporty timepieces while remaining distinctive i",Belmont Watches,2026-03-03,False
1991 Rolex Datejust 16234 'Skinny' White Roman Dial,Rolex,6850,https://www.belmontwatches.com/products/rolex-datejust-16234-skinny-white-roman-dial,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1991RolexDatejust16234_Skinny_WhiteRomanDial.jpg?v=1773354519,"The Rolex Datejust 16234 is a timeless expression of elegance and precision, blending the brand’s iconic design cues with enduring craftsmanship. Encased in a 36mm stainless steel Oyster case, it features a refined 18k white gold fluted bezel that adds subtle sophistication. The crisp white dial is adorned with bold black-outlined Roman numeral hour markers , providing a striking yet classic contr",Belmont Watches,2026-03-17,False
"Universal Geneve Blue Compax Ref 884.495 ""Baby Nina""",Universal Geneve,6400,https://www.belmontwatches.com/products/universal-geneve-blue-compax-ref-884-495,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/UniversalGeneveBlueCompaxRef884.495_BabyNina.jpg?v=1768866098,"The Universal Genève Blue Compax Ref. 884.495 , often called a “Baby Nina” , is a distinctive mid-1990s chronograph that channels the spirit of Universal’s legendary Compax watches from the 1960s most famously those nicknamed after Nina Rindt , the style icon seen trackside with her Universal Genève chronograph in the Formula 1 paddock. While the original vintage “Nina Rindt” models are highly pri",Belmont Watches,2026-01-20,False
1970's Zodiac Olympos Mystery Dial Florentine Manta Ray 18k YG 4004 705,Other,3250,https://www.belmontwatches.com/products/zodiac-olympos-18k-yellow-gold-4004-705,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/ZodiacOlymposMysteryDialFlorentineMantaRay18kYG4004705.jpg?v=1766775227,"The Zodiac Olympos “Mystery Dial” reference 4004 705 is a bold and unmistakably avant-garde timepiece, showcasing the fearless design language Zodiac was known for in the 1970s. Crafted in 18K yellow gold , the sculptural Olympos case is paired with a striking Florentine finished dial outer dial inside the elusive Manta Ray case that also has a Florentine finish, giving the watch an almost archite",Belmont Watches,2026-01-06,False
1967 Omega Speedmaster 105.012-66 HF,Omega,9500,https://www.belmontwatches.com/products/1967-omega-speedmaster-105-012-66,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1967OmegaSpeedmaster105.012-66HF_081e9b36-a3fb-4694-a068-a3d05953812e.jpg?v=1765472002,"The 1967 Omega Speedmaster 105.012-66 HF is one of the most historically significant Moonwatch references ever produced—the very case style worn on the lunar surface during Apollo 11. Built by Huguenin Frères (HF), this variation features the signature asymmetrical lyre-lug case with deeper, more sculpted contours than later models, paired with a beautifully aged stepped dial and tritium lume that",Belmont Watches,2025-12-16,False
Sinn 157 Day-Date Lemania Chronograph,Other,3000,https://www.belmontwatches.com/products/sinn-157-day-date-chronograph,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/Sinn157Day-DateLemaniaChronograph.jpg?v=1764087230,"The Sinn 157 Day-Date is one of the brand’s most iconic tool chronographs, powered by the legendary Lemania movement that cemented its reputation among enthusiasts. With its angular 1980s case design, matte black dial, and bead-blasted finish, the 157 embodies the rugged, utilitarian look Sinn became famous for—built for clarity, durability, and zero nonsense. The tri-register layout, bold white m",Belmont Watches,2025-11-25,False
Breitling Premier Jumbo Chronograph 777,Breitling,3950,https://www.belmontwatches.com/products/breitling-premier-chronograph-777,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/BreitlingPremierJumboChronograph777.jpg?v=1764024116,"This is perhaps the greatest calling for the chronograph. While chronograph movements for use in wristwatches had begun in earnest as early as the 1920s by companies like Longines with its celebrated 13ZN movement, the two-pusher chronograph movement took root in the midst of the frenzy to create accurate and reliable wristwatches for aviators. One of the most widely celebrated chronographs of thi",Belmont Watches,2025-11-25,False
1959 Omega Speedmaster CK 2915-3 Tropical 'Base 1000',Omega,95000,https://www.belmontwatches.com/products/1959-omega-speedmaster-ck-2915-3-tropical,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1959OmegaSpeedmasterCK2915-3Tropical.jpg?v=1759183578,"This reference CK2915-3 is the first Speedmaster with the black ‘base 1000’ tachymetric bezel. The black bezel was introduced on this model in 1959 in order to improve legibility of the tachymeter. The watch, with a 16 million serial number, is in excellent and all original condition and comes with an archives extract from the Omega museum. The dial, dagger counter hands and h/m alpha hands are or",Belmont Watches,2025-09-30,False
Omega Speedmaster Missions Skylab 2 3597.22,Omega,8000,https://www.belmontwatches.com/products/omega-speedmaster-missions-skylab-2-3597-22,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/OmegaSpeedmasterMissionsSkylab23597.22.jpg?v=1759427218,"Information: Pre-Owned: Omega Speedmaster Skylab 2 3597.22 Reference: 3597.22 Dated: 1998 Serial: 48,376,XXX Limited: 100-150 Pieces Bracelet: Stainless Steel Bracelet Case: 42mm - Stainless Steel Lug Width: 20mm Movement: 1861 - Manual Functions: Hours, Minutes, Seconds, Chronograph Box and Papers: Inner/Outer box, warranty card, card holder, and missions pamphlet Crystal: Hesalite Bracelet size:",Belmont Watches,2025-10-07,False
Seiko Chronograph 'Baby Panda' 6138-8000,Seiko,1950,https://www.belmontwatches.com/products/seiko-chronograph-baby-panda-6138-8000,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/SeikoChronograph_BabyPanda_6138-8000.jpg?v=1755193611,"The Seiko 'Baby Panda' ref. 6138-800x is a highly regarded watch among Seiko collectors for several reasons. It was initially released exclusively for the Japanese domestic market (JDM) and was the world's first fully integrated automatic chronograph with a column wheel and vertical coupling mechanism. It is powered by the esteemed 23-jewel cal.6138 movement, which was introduced in 1971 and remai",Belmont Watches,2025-08-19,False
"1960's Hamilton GS ""General Service""",Hamilton,2500,https://www.belmontwatches.com/products/1960s-hamilton,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1960_sHamiltonGS_GeneralService.jpg?v=1751932190,"The Hamilton GS (""General Service"") was produced from 1960 to the end of 70' for the non-military personnel of the British armed forces and UK government personnel. This specific variation has 'H.S.C 103' stamped on the case back. H.S. Cooke & Co., Ltd was a manufacture of various accessories for firearms during WWII. Specifically producing parts for the Lee Enfield rifles. What the '103' means is",Belmont Watches,2025-07-08,False
1960's Seiko Mono Pusher Chronograph 5717-8990,Seiko,1750,https://www.belmontwatches.com/products/1960s-seiko-mono-pusher-chronograph-5717-8990,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1960_sSeikoMonoPusherChronograph5717-8990.jpg?v=1751577104,"The Seiko Mono Pusher Chronograph is a special piece of the Seiko legacy. Designed alongside the Seiko World Time, both were created to celebrate and assist in the 1964 summer Olympics that would be hosted in Japan, also known as the 'Games of the XVIII Olympiad'. This specific chronograph hosts a 60-second timer and the pusher can be used to start, stop, and reset the chronograph feature. The ref",Belmont Watches,2025-07-08,False
1986 Omega Speedymoon 'Big Moon' 345.0809 Speedmaster,Omega,17950,https://www.belmontwatches.com/products/1986-omega-speedymoon-big-moon-345-0809-speedmaster,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1986OmegaSpeedymoon_BigMoon_345.0809Speedmaster.jpg?v=1746654339,"Surely if any chronograph deserves a moonphase complication, it’s the Moonwatch. But, like all good things, it was only introduced in the 80s. This is the ref. 345.0809, better known by collectors as the Speedymoon. Not only does it bring the most romantic of complications to the party, but it adds a date, cool flanking text at the 6 subdial like an early Saxonia, total vertical symmetry, and a we",Belmont Watches,2025-05-13,False
1985 Omega Speedymoon 'Smiley Moon' 345.0809 Speedmaster,Omega,35000,https://www.belmontwatches.com/products/1985-omega-speedymoon-smiley-moon-345-0809-speedmaster,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1985OmegaSpeedymoon_SmileyMoon_345.0809Speedmaster_da979b81-340d-4540-8d86-331062a93407.jpg?v=1761240785,"Surely if any chronograph deserves a moonphase complication, it’s the Moonwatch. But, like all good things, it was only introduced in the 80s. This is the ref. 345.0809, better known by collectors as the Speedymoon. Not only does it bring the most romantic of complications to the party, but it adds a date, cool flanking text at the 6 subdial like an early Saxonia, total vertical symmetry, and a we",Belmont Watches,2025-10-28,False
1968 Omega Speedmaster 'Ultraman' 145.012-67,Omega,18500,https://www.belmontwatches.com/products/omega-speedmaster-ultraman-145-012-67,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/Omega_Speedmaster_Ultraman_145.012-67.jpg?v=1743456598,"In 1968 the rare orange hand Speedmaster made an appearance in the Japanese TV series Ultraman. We still don’t know in 2023 just why Omega chose to produce just a few 145.012s within a specific serial range with orange hands totally unrelated to that series. The serial range these oddities emerged from is around 26.076.xxx and 26.079.xxx, a 3000 example range. Where wearing a standard Speedmaster ",Belmont Watches,2026-07-07,False
Omega Constellation Calendar Solid 18k Gold 2943/2954,Omega,4500,https://www.belmontwatches.com/products/omega-constellation-calendar-gold-plated-2943,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/OmegaConstellationCalendarGoldPlated2943.jpg?v=1736537927,"Information: Omega Constellation Calendar Solid 18k Gold 2943 Reference: 2943/2954 Circa: 1950's Bracelet: Brown leather strap Case Size: 35mm x 39mm Lug to Lug Lug Width: 18mm Case: 18k Yellow Gold Movement: Omega 504 - automatic Functions: HMS, Date Box and Papers: No box or papers - Watch Only Crystal: Plexiglass Bracelet size: 7.5” Condition: Case shows light wear and normal use with nothing n",Belmont Watches,2025-01-14,False
1990's Porsche Design Chronograph 3732,Other,2000,https://www.belmontwatches.com/products/porsche-design-chronograph-3732,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1990_sPorscheDesignChronograph3732.jpg?v=1750277879,"The piece that we have here, a chronograph, dates to circa the mid 1990s and comes in at 36mm in diameter with a fantastic integrated rubber strap with a signed clasp — both of which are constructed out of titanium, much like the Ocean 2000. It features a screw-down crown a sapphire crystal, very cool pushers that are seamlessly integrated into the case, a matte black Tritium black dial with a thr",Belmont Watches,2025-06-24,False
1990 Rolex Submariner Date 16610,Rolex,9250,https://www.belmontwatches.com/products/pre-owned-rolex-submariner-16610,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/RolexSubmarinerDate16610DSC04849.jpg?v=1782170469,"Serial: E,457,XXX Year: 1990 Case Reference: 16610 Dial: Tritium Hands: Luminova Service Hands Case: 40mm - Stainless Steel Bracelet: Stainless Steel Lug Width: 20mm Movement: Rolex 3135 - Automatic Glass: Sapphire Accessories: Inner/outer boxes, and Rolex service card Bracelet size: 7.5” Condition: Case is sharp with little to no wear. Bracelet has no stretch with light wear. Dial has a creamy be",Belmont Watches,2026-06-23,False
1994 Omega Speedmaster Moonwatch 3590.50,Omega,5000,https://www.belmontwatches.com/products/1994-omega-speedmaster-moonwatch-3590-50,https://cdn.shopify.com/s/files/1/0518/0214/4926/files/1994OmegaSpeedmasterMoonwatch3590.50.jpg?v=1777583727,"The 1994 Omega Speedmaster Moonwatch 3590.50 sits in one of the most collectible sweet spots of the Speedmaster timeline—right before Omega transitioned into more modern references. It carries the classic 42mm asymmetrical case, hesalite crystal, and aluminum tachymeter bezel , staying true to the exact formula that made the Speedmaster NASA-qualified and space-proven. Produced throughout the earl",Belmont Watches,2026-05-05,False
